Total Length of Bwd Packet,Flow Bytes/s,Total TCP Flow Time,Total Fwd Packet,Fwd IAT Std,Bwd Packet Length Std,Flow Duration,Average Packet Size
1088.0,1352.838633828173,1998021,9,690124.1796424213,332.780923216976,1998021,159.0
3776.0,14878.37093715022,277853,8,45202.94329913443,663.3397463198019,277853,275.6
48.0,2073.3445639497213,0,1,0.0,0.0,46302,48.0
186.0,4306.785615983679,0,2,0.0,0.0,61763,66.5
108.0,1005464.4808743168,0,2,0.0,0.0,183,46.0
140.0,192703.46117867169,0,2,0.0,0.0,1069,51.5
350.0,2453038.674033149,0,2,0.0,0.0,181,111.0
0.0,0.0,353909,3,228688.93963744727,0.0,353909,0.0
2511.0,39684.09766999381,66223,6,9499.74788086505,702.7049167324789,66223,238.9090909090909
3950.0,5504.215995230389,845352,10,78998.31337756521,569.9183195064805,845352,221.57142857142856
645.0,98.19333204725552,10071967,7,4051993.997899031,263.32014734919164,10071967,76.07692307692308
120.0,1434482.7586206896,0,2,0.0,0.0,145,52.0
264.0,1917159.7633136096,0,2,0.0,0.0,169,81.0
3464.0,658.7681139686073,5801738,10,1616326.5861656882,669.2661225978369,5801738,224.8235294117647
71151.0,642.3515335763925,115453916,49,4252590.619393731,1278.584477028389,115453916,749.1111111111111
3630.0,101.69447007917344,50789389,14,14020364.205276856,595.0153359368143,50789389,224.56521739130437
7538.0,67.62828027887676,115528592,19,4786011.478673791,881.5433361978136,115528592,211.16216216216216
185.0,1150.026136957658,0,1,0.0,0.0,210430,121.0
3726.0,788.8432173633807,5300166,10,1657264.3835016184,658.584521097005,5300166,245.94117647058823
71.0,5381.625592619485,0,1,0.0,0.0,23413,63.0
0.0,0.0,6103484,4,3412771.7136594905,0.0,6103484,0.0
67.0,1952.543270344508,0,1,0.0,0.0,60434,59.0
56725.0,61119.82412536575,944309,26,60995.33225889775,976.538847774179,944309,978.2372881355932
2725.0,217.32415668272972,25165173,16,2255624.224751132,275.9714775302992,25165173,188.5862068965517
300.0,21.256158008918128,0,2,0.0,39.59797974644666,20511703,109.0
65850.0,580.2082195856236,117886989,58,10839651.008422276,767.5310906766447,117886989,534.3671875
196.0,3323.2665041419546,0,2,0.0,0.0,82449,68.5
1492.0,20.240455757478617,116696977,19,4712237.844525455,254.807509046862,116696977,67.48571428571428
0.0,0.0,121209319,2,0.0,0.0,23543,0.0
110.0,1146341.463414634,0,2,0.0,0.0,164,47.0
4976.0,69.83577453482599,115714332,22,5107032.846833943,486.3364551614937,115714332,187.93023255813952
3776.0,22621.314597150176,182748,8,18334.065196214604,643.0649822751752,182748,258.375
98.0,577464.7887323943,0,2,0.0,0.0,284,41.0
164.0,3193.218764514631,0,1,0.0,0.0,68896,110.0
102.0,7037.643207855974,0,2,0.0,0.0,24440,43.0
157.0,3598.703815277393,0,1,0.0,0.0,61411,110.5
96.0,2285714.285714286,0,2,0.0,0.0,84,48.0
64.0,1809.3699515347332,0,1,0.0,0.0,61900,56.0
132.0,3049.0128820794266,0,2,0.0,0.0,65595,50.0
162.0,1118181.818181818,0,2,0.0,0.0,220,61.5
264.0,13551.382324647622,0,2,0.0,0.0,23909,81.0
72.0,2044.6631098047983,0,1,0.0,0.0,62602,64.0
186.0,2594.5302198970694,0,1,0.0,0.0,94044,122.0
294.0,3483.309143686502,0,2,0.0,0.0,110240,96.0
137.0,3482.71151218949,0,1,0.0,0.0,51971,90.5
104.0,1150326.797385621,0,2,0.0,0.0,153,44.0
362.0,1715384.6153846155,0,2,0.0,0.0,260,111.5
987.0,10.424730609328504,480592104,7,7424948.931931766,123.89761168730486,110026824,63.72222222222222
212.0,6451.079315193119,0,2,0.0,0.0,48364,78.0
98.0,971.1062629702548,0,1,0.0,0.0,150344,73.0
4398.0,342.5489768253238,15953923,14,2972737.380789222,619.3165294389967,15953923,218.6
859.0,18368.648572036,70555,5,13528.398682647798,384.1564785344639,70555,129.6
4272.0,54.76041440903555,115630973,24,5110369.361222958,472.8735107223253,115630973,140.7111111111111
0.0,0.0,6004375,4,3425726.0090095256,0.0,6004375,0.0
112.0,1361702.1276595744,0,2,0.0,0.0,141,48.0
181.0,5067.171964487216,0,1,0.0,0.0,46969,119.0
129.0,1903.7371187352564,0,1,0.0,0.0,96652,92.0
250.0,972477.0642201836,0,2,0.0,0.0,327,79.5
4365.0,8185.071772807732,619176,10,53554.0645446263,653.9447606640794,619176,266.7368421052632
6954.0,6702.896000225261,1420580,42,157863.2742641942,302.3143794835985,1420580,105.8
166.0,1166666.6666666667,0,2,0.0,0.0,192,56.0
108.0,7523.716061498201,0,2,0.0,0.0,24456,46.0
74399.0,7434.908160395483,10098040,33,1763522.1436701154,755.5790466042356,10098040,862.9655172413793
338.0,2245989.304812834,0,2,0.0,0.0,187,105.0
5297.0,54.56471802392476,116907046,17,19807891.82476155,475.74583000930426,116907046,182.25714285714287
310.0,16442.01477277469,0,2,0.0,0.0,23963,98.5
616.0,3469.930412808569,0,4,14335.318517563535,0.0,212108,122.66666666666669
81.0,4224.070704445022,0,1,0.0,0.0,30776,65.0
3593.0,1169.622970902976,5607790,11,1550326.4156573429,923.9759485892632,5607790,345.2105263157895
118.0,647482.0143884893,0,2,0.0,0.0,278,45.0
48.0,5889.931897662433,0,1,0.0,0.0,16299,48.0
46.0,25.16698068307653,181528635,6,2852633.9499145,26.558112382722783,6715148,18.77777777777778
208.0,962199.3127147764,0,2,0.0,0.0,291,70.0
208.0,2939.4095434260216,0,2,0.0,0.0,93216,68.5
0.0,0.1069235830593696,194644672,9,3693823.6817937046,0.0,65467316,0.3888888888888889
162.0,1618421.0526315789,0,2,0.0,0.0,152,61.5
189.0,4093.6149392481448,0,1,0.0,0.0,61315,125.5
3587.0,148.9670727804643,30201305,11,4818909.078647695,593.5048534857243,30201305,214.23809523809524
264.0,1741935.4838709678,0,2,0.0,0.0,186,81.0
115.0,2182.9805480840446,0,1,0.0,0.0,76959,84.0
218.0,3229.314265001483,0,2,0.0,0.0,91041,73.5
234.0,6218.710888610764,0,2,0.0,0.0,51136,79.5
0.0,0.0,6560528,5,2218837.871726699,0.0,6560528,0.0
200.0,1714285.7142857143,0,2,0.0,0.0,168,72.0
399.0,5394.557622096195,372227,9,48520.31747021771,86.93819643861954,372227,111.55555555555556
356.0,2018691.5887850467,0,2,0.0,0.0,214,108.0
170.0,1416216.2162162163,0,2,0.0,0.0,185,65.5
0.0,108875000.0,0,13,1.954016841836789,0.0,24,201.0
639.0,20.06889870707964,485917224,16,4065969.955406221,85.86304501937956,115252961,72.28125
137.0,367.54956800441056,2002451,7,813692.9915219048,51.78113280226413,2002451,52.57142857142857
0.0,0.0,6313003,5,1928883.1968627812,0.0,6313003,0.0
98.0,1464285.7142857143,0,2,0.0,0.0,112,41.0
2974.0,273.9476443277981,12250516,17,1483281.6818357192,473.1347859130901,12250516,111.86666666666666
196.0,1271929.8245614034,0,2,0.0,0.0,228,72.5
314.0,1754716.9811320754,0,2,0.0,0.0,212,93.0
0.0,0.0,3427391,5,1006737.0569898908,0.0,3427391,0.0
196.0,1367924.5283018867,0,2,0.0,0.0,212,72.5
328.0,15198.840766382224,0,4,17416.05955241694,0.0,31055,78.66666666666667
388.0,8110.300081103,0,4,36827.160443527726,0.0,64116,65.0
188.0,1746835.4430379749,0,2,0.0,0.0,158,69.0
152.0,1529411.7647058824,0,2,0.0,0.0,153,58.5
122.0,1527.4427441812811,0,1,0.0,0.0,107369,82.0
206.0,12121.722294709374,0,2,0.0,0.0,23759,72.0
132.0,943396.2264150945,0,2,0.0,0.0,212,50.0
238.0,6344.193652986706,0,4,18782.936307546097,0.0,70931,75.0
18982.0,14474.05131513998,1444447,23,95549.80165402424,709.5548702955354,1444447,418.14
264.0,1678756.4766839377,0,2,0.0,0.0,193,81.0
3063.0,50.421508813700335,102000121,15,18105663.67132875,541.4562519052419,102000121,197.80769230769232
200.0,4969.929284250876,0,4,17594.749453553846,0.0,75655,62.66666666666666
120.0,4744.102101327833,0,1,0.0,0.0,38785,92.0
530.0,24006.116207951072,0,2,0.0,0.0,26160,157.0
282.0,1308.015798492493,0,2,0.0,0.0,273697,89.5
46.0,29.88465583840076,180642841,6,2455719.001137386,26.558112382722783,5655076,18.77777777777778
104.0,2387.1887536885383,0,1,0.0,0.0,60322,72.0
481.0,10.144536351988496,0,2,0.0,58.68986283848344,57962235,147.0
216.0,10623.662488535616,0,2,0.0,0.0,26168,69.5
236.0,7883.134561856194,0,4,26362.39066043392,0.0,49219,64.66666666666667
177.0,5665.250354078147,0,1,0.0,0.0,48012,136.0
116.0,1298701.298701299,0,2,0.0,0.0,154,50.0
3548.0,38.16257878347592,115846469,19,4756821.272640629,605.9363552937443,115846469,126.31428571428572
174.0,3698.827659707855,0,2,0.0,0.0,63804,59.0
4812.0,27357.05900878976,209562,12,16434.5829545781,733.6765450300784,209562,238.875
0.0,1017.293997965412,178857933,2,0.0,0.0,36371,12.333333333333334
201.0,5221.156295101452,0,1,0.0,0.0,47116,123.0
131.0,1572.2127303791488,0,1,0.0,0.0,110036,86.5
71737.0,2372.489626956715,31066100,49,2484874.1333591985,888.792551541317,31066100,701.9428571428572
252.0,1840.319115129036,0,4,17961.655556583122,0.0,210833,64.66666666666667
328.0,16570.6947263764,0,2,0.0,0.0,24139,100.0
42983.0,396.71283365284654,116086489,38,4634840.310144354,807.5744083913585,116086489,535.5
266.0,14442.845394736842,0,4,18118.708793215188,0.0,38912,93.66666666666669
232.0,11959.25605179595,0,2,0.0,0.0,24249,72.5
223.0,7.1211017595484885,0,2,0.0,10.606601717798211,46200716,82.25
3776.0,3653.369955406616,1131558,7,185222.38910176777,663.3397463198019,1131558,295.2857142857143
182.0,2574.7240996252112,0,2,0.0,0.0,96321,62.0
0.0,0.0,154841398,2,0.0,0.0,36566,0.0
180.0,7965.28947027587,0,2,0.0,0.0,30884,61.5
310.0,1614754.0983606558,0,2,0.0,0.0,244,98.5
31.0,1.1493527975858846,174830173,10,5104036.349088484,10.960155108391488,53943402,3.4444444444444446
3443.0,7380.990039064825,587997,8,77440.00833917459,757.9276138637138,587997,271.25
226.0,3969.894963195765,0,2,0.0,0.0,72546,72.0
158.0,7258.012717579806,0,2,0.0,0.0,31138,56.5
3776.0,10756.689104624023,384319,8,38768.00315920825,643.0649822751752,384319,258.375
3067.0,5384.796380361754,667249,10,77048.38609240588,934.6600508817554,667249,199.61111111111111
2860.0,4883720.930232558,0,2,0.0,0.0,688,840.0
158.0,8442.776735459662,0,1,0.0,0.0,24518,103.5
138.0,5222.561465531094,0,1,0.0,0.0,37338,97.5
0.0,31000000.0,0,2,0.0,0.0,4,62.0
306.0,1467625.8992805756,0,2,0.0,0.0,278,102.0
112.0,932038.8349514564,0,2,0.0,0.0,206,48.0
80.0,1671.3455637526931,0,1,0.0,0.0,76585,64.0
141.0,3256.003256003256,0,1,0.0,0.0,61425,100.0
364.0,6936.855608875374,0,2,0.0,0.0,63141,109.5
12403.0,157.39951655828943,84460234,16,16024091.119624758,671.8017452845149,84460234,391.0
